1.2889,4.4667,1.7111,3.1333
1.0667,5.4444,1.4889,4.4889
2.0222,1.4889,3.7778,2.7111
2.2889,4.1111,1.2667,1.4889
1.4,1.4667,5.0444,3.8444
1.6444,2.5111,3.0444,3.1556
2.6444,1.3333,4.2222,2.2
1.3778,4.6667,1.4,2.7556
3.9556,1.2222,4.0889,2.0222
1.3333,3.3556,2,3.1778
1.4444,2.8667,2.6,2.6444
3.7556,1.2444,4.8667,2.1333
4.4222,1.8222,1.9778,1.3778
2.2667,1.4667,4.4667,2.6889
4.6,1.4222,2.7778,1.4667
2.2889,3.9333,1.4889,1.7556
1.1111,4.3778,1.6889,4.3333
1.2222,1.8889,4.2889,4.2222
2.1556,1.6444,4,1.9778
1.5333,1.9778,3.6222,3.0444
1.3333,2.9333,2.6889,3.7556
2.3111,1.5778,4.0222,2.5333
2.3111,4.0667,1.6444,1.7333
1.4667,2.0667,3.8222,2.9778
5.2,1.1778,2.7333,1.6444
4.6,1.6667,3.0444,1.4889
3.2,3.1333,1.8222,1.7333
1.2,1.8222,4.4444,3.3333
4.6222,1.2444,3.3333,1.4889
1.2889,5.8222,1.2,1.7778
2.0444,2.2222,3.3556,1.6889
2.5778,3.3111,2.3778,1.3778
3.6889,1.5111,3.0667,1.5111
1.0667,4.0444,1.9556,3.8222
2.2444,2.0889,3.7333,2.4667
5.6444,1.1333,3.1333,1.3556
3.1556,1.7111,3.6,1.5778
1.1556,4.8,1.6444,2.6444
3.0667,1.9111,2.7556,2.2222
1.1333,1.4667,4.7333,3.7333
1.2889,3.1333,3.0667,2.8
3.4,2.9333,1.8,1.8889
2.4667,3.6,1.4667,1.8889
1.1778,2.6889,3.2,4.4444
1.4,2.2667,3.6222,2.9333
4.2667,2.0222,2.0889,1.7111
2.8889,2.8889,2.3778,1.6222
5.1778,1.4889,2.6,1.4
2.6222,1.3778,4.5111,2.1111
1.1333,3.2222,2.2667,3.8889
1.1556,3.6222,2.0222,3.8667
4,1.7111,2.3333,1.9778
1.2444,2.6444,3.4667,3.5333
1.3556,2.8444,2.9556,3.9778
4.1111,1.4,2.5778,1.8889
1.2,5.3556,1.2667,2.9111
1.6222,2.6222,3.1333,3.5111
1.2,3,2.5333,3.9556
1.0889,2.9111,2.8889,4.0889
1.8222,1.8222,4.2,2.9111
3.3556,2.1333,3.0667,1.4667
1.2222,5.2667,1.5556,3.3333
3.6667,1.8667,2.8889,2
1.1556,1.8444,3.9778,4
1.4889,2.2667,3.7333,2.9111
1.8667,2.7778,2.4667,3.0444
1.4444,3.5556,2.7111,2.2889
3.8,1.1111,4.8222,2.2667
2.1111,3.3556,1.8667,2.1333
2.7333,1.3556,4.4,2.5556
5,1.2,3.2667,1.4222
4.6444,1.1111,3.3111,1.6889
3.2444,1.2889,4.9778,1.9556
1.3111,3.0222,2.7111,3.5111
3.1778,1.9778,3.2444,2.0889
1.3333,1.8444,4.1111,2.8222
1.1778,4.5778,1.2667,2.7333
1.8222,4.8889,1.2889,1.8222
2.4889,3.0889,1.8444,1.6889
1.5556,3.0444,2.3111,2.9333
1.9556,1.7778,3.5556,2
1.3556,5.1111,1.3111,1.6222
1.2,4.0667,2.0667,3.3111
3.0222,1.5111,4.0667,2.7778
2.2444,2.4444,2.9778,1.6667
5.8667,1.1778,3.2222,1.3556
2.4222,2.0889,3.7556,2.1778
3.9778,2.2,1.8667,1.4889
2.0667,1.5111,4.8444,2.4
3.0222,1.4889,3.9333,1.5778
1.2222,4.6444,1.6667,3.1333
5.3556,2.0667,2,1.2889
4.6,1.6222,2.4222,1.1111
1.6889,3.9333,1.9778,2.6444
3.8667,1.5778,3.1111,1.4
1.4222,5.1778,1.5111,2.3556
1.6444,2.8667,2.8667,1.8889
3.3111,1.9778,3.0889,1.4667
2,4.5111,1.2889,1.5111
2.2889,1.8889,3.2889,2.1556
1.4667,4.0667,1.6889,2.2444
3.2444,1.5556,3.4222,1.7111
1.3111,1.5333,4.8,3.8889
1.9111,2.3333,3.1778,2.0889
1.4667,3.8889,1.9778,2.4
2.5333,2.0667,2.5778,1.7333
4.7778,1.3778,2.4444,1.4222
1.4444,2.3111,3.9778,3.2
1.4889,3.8889,1.8222,3.0889
1.2,5.2444,1.4222,2.4667
2.2444,3.4444,1.7333,2
2.6889,2.6222,2.8222,2.5333
1.4444,1.6889,4.3778,2.9111
4.7111,1.2,3.4667,1.6889
2.9556,2.7778,2.6667,1.1556
1.3778,5.5778,1.3111,2
2.1778,1.2222,5.3778,2.2667
1.7333,4.9333,1.2889,1.6
1.1556,4.3111,1.8444,3.5333
3,1.5556,3.6444,2.0667
1.5778,3.3556,2.3333,3.1778
1.6667,1.5556,4.2,3.3111
1.0222,2.9111,2.8889,4.4889
1.3778,5.2,1.3778,1.9778
1.0444,3.2889,3.1333,5.7778
2.0889,1.1556,5.1333,2.7778
1.6667,1.7111,4.4667,3.6667
2.7111,2.8667,2.1111,2.3111
5.1778,2.2444,1.8,1.2222
1.9333,3.0889,2.5556,2.6667
1.0444,4.4889,1.6,4.6
4.7111,1.4,3.3556,1.7333
1.8667,3.7778,1.8667,2
1.0444,4.2222,1.8,3.3111
2.4,1.4444,4.8222,1.9333
1.5778,1.8889,3.9333,2.6667
1.0667,2.7111,3.0667,3.1556
3.4889,2.5111,2.4667,1.2
4.0667,1.5111,2.6,1.5556
1.2222,4.0667,1.6,2.8444
1.4222,4.2889,2.4889,3.3111
1.4,2.7556,3.4667,2.2
1.4222,4.0444,2.6444,2.3778
4.2444,1.3778,3.2889,1.7556
1.4222,1.2444,5.3333,3.5778
1.2667,1.3111,5.8222,3.2222
3.6222,1.2889,3.3556,1.6889
4.0444,1.5333,3.5111,1.6
1.2,2.1778,3.9778,4.0444
2.5111,1.2889,4.1778,2.2667
1.0444,4.8222,1.7778,4.1778
1.0889,3.1111,2.4222,3.9556
5.1333,1.5333,2.5778,1.2889
1.3556,4.6222,1.4667,3.0667
1.4,3.2667,1.9556,3.6222
1.1333,1.9778,4.2667,4.0222
3.2,1.4444,3.5778,2.1111
1.6222,2.8444,3.8667,2.4667
4.2889,1.8222,2.3111,1.6
1.2222,4.5556,1.5111,3.2222
2.7556,3.8222,1.5111,1.3111
1.3333,5.1556,1.2,2.4667
1.9333,2.4667,3.2,1.6889
1.3778,1.2667,5.3778,3.7111
3.9556,1.1778,4.1778,1.9778
5.6667,1.4667,2.0444,1.1111
1.6667,3.3111,2.9778,2.2
4.3556,1.1333,3.6667,1.7111
1.1111,5.8444,1.2889,2.8
1.7778,2.7111,3.3556,2.2444
2.5556,2.6444,2.4444,2.7111
1.1556,3.7111,2.0444,4.0889
2.2,1.3778,4.8444,2.2
2.3778,1.2667,5,2.4444
1.4889,2.1778,3.6444,2.6
1.7556,1.6222,4.3333,3.4444
1.8,1.4222,5.0222,2.8889
4.7556,1.4,2.4,1.6222
6.0667,1.1556,2.6667,1.3333
3.0444,1.5333,3.6444,2.0667
2.0222,5.0889,1.2444,1.1556
1.2,4.4667,1.6444,3.3333
1.9333,2.2444,3.0222,2.4
5.0667,1.5556,2.4222,1.3333
1.6,3.8,1.8444,2.7111
1.9778,1.2889,4.8889,2.9778
1.1333,4.0889,1.8222,3.1333
1.2667,4.4667,1.4222,3.2444
5.6667,1.4,2.4667,1.1778
1.0667,2.6889,3.0222,3.5556
1.5556,3.9556,2.6667,2
1.7556,4.6444,1.3556,1.4667
1.6889,1.2222,5.2222,2.6444
1.6889,4.2889,1.3556,2.1333
1.6889,3.6,1.6667,2.2
2.3333,2.6444,3.0667,1.3333
1.1333,1.1556,5.7333,4.2444
1.8444,4.3556,1.4667,1.8889
1.2889,2.5778,3.2,4.6222
4.9111,2.0444,1.7111,1.2
